Page Title;Link;Type;Industry;Industry 2;Industry 3;Technolgy;Technology 2;Technology 3;Business;Business 2;Business 3;Business 4;Trending;Trending 2;Trending 3;Trending 4
Demand forecasting in S&OP takes the stage at AI 4 Business Summit;https://www.delaware.pro/en-BE/Discover/Blog/demand-forecasting;Blogs;All;;;Microsoft;SAP;;Marketing;Strategy;Operations;;Artificial Intelligence;;;
The data-driven organization: aligning business and data;https://www.delaware.pro/en-BE/Discover/Blog/data-driven-organization;Blogs;All;;;SAP;Microsoft;;Strategy;Finance;;;None;;;
Successful digital transformation is IT led but business driven;https://www.delaware.pro/en-BE/Discover/Blog/successful-digital-transformation-is-it-led-but-business-driven;Blogs;All;;;All;;;IT;Operations;Strategy;;None;;;
3 misconceptions about 'lot size' one;https://www.delaware.pro/en-BE/Discover/Blog/3-misconceptions-about-lot-size-one;Blogs;All;;;None;;;Operations;;;;None;;;
A day in the life of a consultant;https://www.delaware.pro/en-BE/Discover/Blog/a-day-in-the-life-of-a-consultant;Blogs;None;;;SAP;;;IT;;;;None;;;
delaware concludes the marriage between finance and operations at Agristo;https://www.delaware.pro/en-BE/Discover/Blog/agristo;Blogs;Food;;;None;;;Finance;Operations;;;None;;;
Innovation-as-a-service: an ideation-powered transformation;https://www.delaware.pro/en-BE/Discover/Blog/innovation-as-a-service;Blogs;All;;;All;;;Marketing;Operations;Finance;IT;All;;;
Microsoft Dynamics 365: a deep dive into the most important features;https://www.delaware.pro/en-BE/Discover/Blog/microsoft-dynamics-365;Blogs;All;;;Microsoft;;;Marketing;Finance;Operations;IT;Cloud;;;
Migrating to SAP S/4HANA: 3 myths debunked;https://www.delaware.pro/en-BE/Discover/Blog/migrating-to-sap-s4hana;Blogs;All;;;SAP;;;Finance;IT;Operations;;Cloud;;;
Keep a sharp eye on the GDPR - There's a new sheriff in town;https://www.delaware.pro/en-BE/Discover/Blog/successfactors-q4;Blogs;All;;;SAP;;;HR;IT;;;None;;;
Adieu, Big Brother. Here are the new privacy rules:;https://www.delaware.pro/en-BE/Discover/Blog/adieu-big-brother-here-are-the-new-privacy-rules;Blogs;All;;;None;;;All;;;;None;;;
Are augmented reality and virtual reality more than just a gimmick?;https://www.delaware.pro/en-BE/Discover/Blog/are-augmented-reality-and-virtual-reality-more-than-just-a-gimmick;Blogs;All;;;None;;;All;;;;Augmented Reality;Virtual Reality;;
Artificial intelligence: treasure or threat?;https://www.delaware.pro/en-BE/Discover/Blog/artificial-intelligence;Blogs;All;;;None;;;All;;;;Artificial Intelligence;;;
How collaborative asset management benefits operators and OEMs;https://www.delaware.pro/en-BE/Discover/Blog/asset-intelligence-network;Blogs;All;;;SAP;;;Operations;;;;None;;;
Beacons meet Hybris Marketing. Match made in heaven?;https://www.delaware.pro/en-BE/Discover/Blog/beacons-meet-hybris-marketing;Blogs;All;;;SAP;;;Marketing;;;;Beacons;;;
Compliance with GDPR: a golden chance to edge ahead;https://www.delaware.pro/en-BE/Discover/Blog/compliance-with-gdpr-a-golden-chance-to-edge-ahead;Blogs;All;;;None;;;All;;;;None;;;
Connecting with the customer when data is king;https://www.delaware.pro/en-BE/Discover/Blog/connecting-with-the-customer-when-data-is-king;Blogs;Retail;;;SAP;Microsoft;;Marketing;;;;Cloud;Internet of Things;Artificial Intelligence;
Could you be the next phishing victim?;https://www.delaware.pro/en-BE/Discover/Blog/could-you-be-the-next-phishing-victim;Blogs;All;;;None;;;IT;;;;None;;;
Data as an asset: leveraging the full power of data management;https://www.delaware.pro/en-BE/Discover/Blog/data-as-an-asset;Blogs;All;;;Microsoft;SAP;;IT;Strategy;;;None;;;
delaware's SAP S/4HANA roll-out in the spotlight;https://www.delaware.pro/en-BE/Discover/Blog/delawares-sap-s4hana-rollout-in-the-spotlight;Blogs;All;;;SAP;;;Finance;;;;Cloud;;;
DEME standardizes and automates ICT in finance;https://www.delaware.pro/en-BE/Discover/Blog/deme;Blogs;Enigneering & Projects;;;Microsoft;;;Finance;IT;;;None;;;
On tomorrow's doorstep - Innovation as a service, FAIR data and benefiting from failure and start-ups;https://www.delaware.pro/en-BE/Discover/Blog/fair-data;Blogs;All;;;None;;;IT;Strategy;;;Internet of Things;Blockchain;Artificial Intelligence;
From unstructured content to smart content;https://www.delaware.pro/en-BE/Discover/Blog/from-unstructured-content-to-smart-content;Blogs;All;;;SAP;Microsoft;;Marketing;Operations;;;Cloud;Augmented Reality;Virtual Reality;
Future-proof your business today with Dynamics 365;https://www.delaware.pro/en-BE/Discover/Blog/futureproof-your-business-today-with-dynamics-365;Blogs;All;;;Microsoft;;;Marketing;Operations;Finance;IT;Internet of Things;;;
How AI and blockchain disrupt enterprise information management;https://www.delaware.pro/en-BE/Discover/Blog/how-ai-and-blockchain-disrupt-enterprise-information-management;Blogs;All;;;OpenText;SAP;Microsoft;IT;;;;Artificial Intelligence;Blockchain;;
ICT as a strategic pillar for success for BMT group;https://www.delaware.pro/en-BE/Discover/Blog/ict-as-a-strategic-pillar-for-success-for-bmt-group;Blogs;Discrete Manufacturing;;;SAP;;;IT;Strategy;Finance;;None;;;
Getting to know our juniors: the once upon a time edition;https://www.delaware.pro/en-BE/Discover/Blog/getting-to-know-our-juniors-the-once-upon-a-time-edition;Blogs;None;;;None;;;None;;;;None;;;
Getting to know our juniors: the pet edition;https://www.delaware.pro/en-BE/Discover/Blog/getting-to-know-our-juniors-the-pet-edition;Blogs;None;;;None;;;None;;;;None;;;
Getting to know our juniors: the recent edition;https://www.delaware.pro/en-BE/Discover/Blog/getting-to-know-our-juniors-the-recent-edition;Blogs;None;;;None;;;None;;;;None;;;
Getting to know our juniors: the spare time edition;https://www.delaware.pro/en-BE/Discover/Blog/getting-to-know-our-juniors-the-spare-time-edition;Blogs;None;;;None;;;None;;;;None;;;
Getting to know our juniors: the travel edition;https://www.delaware.pro/en-BE/Discover/Blog/getting-to-know-our-juniors-the-travel-edition;Blogs;None;;;None;;;None;;;;None;;;
Getting to know our juniors: the work edition;https://www.delaware.pro/en-BE/Discover/Blog/getting-to-know-our-juniors-the-work-edition;Blogs;None;;;None;;;None;;;;None;;;
How can the workplace make you awesome?;https://www.delaware.pro/en-BE/Discover/Blog/how-can-the-workplace-make-you-awesome;Blogs;All;;;Microsoft;;;HR;IT;;;Cloud;;;
How Finance and Supply Chain form a perfect match for supply chain controlling;https://www.delaware.pro/en-BE/Discover/Blog/how-finance-and-supply-chain-form-a-perfect-match-for-supply-chain-controlling;Blogs;All;;;SAP;Microsoft;;Finance;Operations;;;None;;;
How to make IT great again;https://www.delaware.pro/en-BE/Discover/Blog/how-to-make-it-great-again;Blogs;All;;;None;;;IT;Strategy;;;None;;;
Is S&OP ready to leave its supply chain nest?;https://www.delaware.pro/en-BE/Discover/Blog/is-sop-ready-to-leave-its-supply-chain-nest;Blogs;All;;;SAP;Microsoft;;Finance;Operations;;;None;;;
Mobile apps: what's next?;https://www.delaware.pro/en-BE/Discover/Blog/mobile-apps-what-is-next;Blogs;All;;;None;;;IT;Marketing;Operations;;None;;;
