Page Title;Meta Description;Link;Type;Industry;Industry 2;Industry 3;Technology;Technology 2;Technology 3;Business;Business 2;Business 3;Business 4;Trending;Trending 2;Trending 3;Trending 4
Delivering operational excellence;;https://www.delaware.pro/en-BE/Solutions/Discover-the-next-gen-ERP;Services;All;;;Microsoft;SAP;;Operations;Strategy;Finance;IT;Blockchain;Artificial Intelligence;Cloud;Augmented Reality
Advanced planning;;https://www.delaware.pro/en-BE/Solutions/Advanced-planning;Services;All;;;Microsoft;SAP;;Operations;Strategy;;;Blockchain;;;
Field services;;https://www.delaware.pro/en-BE/Solutions/Field-Services;Services;All;;;Microsoft;SAP;;Operations;;;;Internet of Things;Augmented Reality;Intelligent Apps;
Global trade;;https://www.delaware.pro/en-BE/Solutions/Global-trade;Services;All;;;SAP;;;Operations;;;;None;;;
Invoice management;;https://www.delaware.pro/en-BE/Solutions/Invoice-management;Services;All;;;SAP;Microsoft;;Finance;;;;Blockchain;;;
Lot size one;;https://www.delaware.pro/en-BE/Solutions/Lot-size-one;Services;All;;;Microsoft;SAP;;Operations;Strategy;;;Cloud;Intelligent Apps;Internet of Things;
Public cloud ERP;;https://www.delaware.pro/en-BE/Solutions/public-cloud;Services;All;;;Microsoft;SAP;;IT;Strategy;;;Cloud;;;
Smart maintenance;;https://www.delaware.pro/en-BE/Solutions/Smart-Maintenance;Services;All;;;SAP;;;Operations;;;;Artificial Intelligence;Virtual Reality;Blockchain;Augmented Reality
Smart warehouse;;https://www.delaware.pro/en-BE/Solutions/smart-warehouse;Services;All;;;Microsoft;SAP;;IT;Operations;;;Internet of Things;Augmented Reality;;
Strategic sourcing;;https://www.delaware.pro/en-BE/solutions/strategic-sourcing;Services;All;;;SAP;;;Strategy;Operations;;;None;;;
Enabling strategic decision-making;;https://www.delaware.pro/en-BE/Solutions/Trending;Services;All;;;Microsoft;SAP;;All;;;;All;;;
Artificial intelligence;;https://www.delaware.pro/en-BE/Solutions/Artificial-Intelligence;Services;All;;;SAP;Microsoft;;Finance;Operations;Marketing;HR;Artificial Intelligence;;;
